PassLevel,FreeRewardItemId,FreeRewardItemValue,RareRewardItemId,RareRewardItemValue,EpicRewardItemId,EpicRewardItemValue
1,50001,10000,50002,300,50001,200000
2,50002,100,50002,300,50002,1000
3,50001,10000,50002,300,50101,30
4,50002,100,50002,300,50102,30
5,50001,10000,50002,300,50103,30
6,50002,100,50002,300,50104,30
7,50001,10000,50002,300,50105,30
8,50002,100,50002,300,50106,30
9,50001,10000,50002,300,50202,10
10,50002,100,50002,300,50203,10
11,50001,10000,50002,300,50301,30
12,50002,100,50002,300,50302,10
13,50001,10000,50002,300,50303,10
14,50002,100,50002,300,50304,15
15,50001,10000,50002,300,50305,5
16,50002,100,50002,300,50306,1
17,50001,10000,50002,300,50001,200000
18,50002,100,50002,300,50002,1000
19,50001,10000,50002,300,50101,30
20,50002,100,50002,300,50102,30
21,50001,10000,50002,300,50103,30
22,50002,100,50002,300,50104,30
23,50001,10000,50002,300,50105,30
24,50002,100,50002,300,50106,30
25,50001,10000,50002,300,50202,10
26,50002,100,50002,300,50203,10
27,50001,10000,50002,300,50301,30
28,50002,100,50002,300,50302,10
29,50001,10000,50002,300,50303,10
30,50002,100,50002,300,50304,15
31,50001,10000,50002,300,50305,5
32,50002,100,50002,300,50306,1
33,50001,10000,50002,300,50001,200000
34,50002,100,50002,300,50002,1000
35,50001,10000,50002,300,50101,30
36,50002,100,50002,300,50102,30
37,50001,10000,50002,300,50103,30
38,50002,100,50002,300,50104,30
39,50001,10000,50002,300,50105,30
40,50002,100,50002,300,50106,30
41,50001,10000,50002,300,50202,10
42,50002,100,50002,300,50203,10
43,50001,10000,50002,300,50301,30
44,50002,100,50002,300,50302,10
45,50001,10000,50002,300,50303,10
46,50002,100,50002,300,50304,15
47,50001,10000,50002,300,50305,5
48,50002,100,50002,300,50306,1
49,50001,10000,50002,300,50306,1
50,50002,100,50002,300,50306,1
